,bgrp,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05
0,60014001001,136,24,75,37,13,19,104,0,0,0,2,9,0,4,0,28,0,8,50,0,1,0,15,2,0,17,0,90,9,0,28,3,6,111,25,17,21,21,53,63,73,0,0,0,0,0,0,0,0,0,0
1,60014001002,145,27,81,37,15,20,110,0,0,0,0,0,0,0,0,7,3,8,5,0,4,92,18,0,5,3,0,88,15,1,34,0,7,116,29,15,13,24,66,57,88,0,0,0,0,0,0,0,0,0,0
2,60014002001,683,117,381,185,113,169,401,0,0,0,0,0,2,190,0,0,59,6,37,22,3,22,110,0,137,95,0,439,59,6,147,1,31,559,124,96,101,163,206,303,380,0,0,0,0,0,0,0,0,0,0
3,60014002002,420,142,198,80,59,183,178,0,0,0,0,0,0,156,0,0,1,3,22,0,7,58,16,0,138,19,0,275,40,6,68,0,31,338,82,39,55,74,110,209,211,0,0,0,0,0,0,0,0,0,0
4,60014003001,320,85,153,82,74,108,138,0,0,0,2,0,0,67,0,1,6,15,4,0,14,0,11,1,183,16,0,229,16,5,57,2,11,239,81,51,54,48,82,142,178,0,0,0,0,0,0,0,0,0,0
5,60014003002,806,197,423,186,190,232,384,0,0,0,25,0,13,158,0,12,1,7,74,0,4,28,280,2,147,55,0,522,81,5,159,2,37,607,199,108,127,163,211,307,499,0,0,0,0,0,0,0,0,0,0
6,60014003003,454,88,248,118,119,131,204,0,0,0,26,53,3,25,0,5,20,18,34,0,3,16,103,0,68,54,26,257,80,5,88,2,22,351,103,58,97,109,102,205,249,0,0,0,0,0,0,0,0,0,0
7,60014003004,593,138,307,148,116,220,257,0,0,0,10,0,9,51,0,0,0,0,20,0,2,0,74,1,374,52,0,435,37,9,80,0,32,408,185,80,109,136,130,253,340,0,0,0,0,0,0,0,0,0,0
8,60014004001,271,64,133,74,47,62,162,0,0,0,43,1,0,79,0,1,13,17,42,0,2,12,18,14,16,13,0,185,19,3,50,0,14,221,50,30,35,58,84,119,152,0,0,0,0,0,0,0,0,0,0
9,60014004002,179,23,113,43,23,22,134,0,0,0,24,8,4,29,0,0,0,1,13,0,0,0,92,3,0,5,0,116,19,2,33,1,8,130,49,27,32,44,53,71,108,0,0,0,0,0,0,0,0,0,0
10,60014004003,364,51,236,77,58,145,161,0,0,0,17,1,0,33,0,10,0,36,0,0,0,62,120,4,67,14,0,263,48,2,36,0,15,274,90,46,58,82,127,131,233,0,0,0,0,0,0,0,0,0,0
11,60014005001,338,54,194,90,70,90,178,0,0,0,13,0,0,29,0,3,0,11,30,0,2,59,113,10,48,20,0,200,76,8,31,1,22,271,67,44,74,72,94,159,179,0,0,0,0,0,0,0,0,0,0
12,60014005002,79,13,45,21,21,33,25,0,0,0,10,1,0,3,0,1,2,0,10,0,12,3,25,12,0,0,0,36,25,0,9,1,8,64,15,5,16,21,24,28,51,0,0,0,0,0,0,0,0,0,0
13,60014005003,31,2,24,5,7,14,10,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,20,0,0,2,0,15,13,1,2,0,0,26,5,7,12,5,5,13,18,0,0,0,0,0,0,0,0,0,0
14,60014006001,245,33,154,58,15,26,204,0,0,0,0,0,13,2,0,162,0,0,46,0,0,0,21,0,0,1,0,162,26,1,45,0,11,205,40,36,38,53,85,133,112,0,0,0,0,0,0,0,0,0,0
15,60014006002,84,24,45,15,12,20,52,0,0,0,19,3,0,12,16,0,0,0,5,0,6,7,11,3,0,2,0,46,15,1,12,2,8,56,28,12,8,16,24,54,30,0,0,0,0,0,0,0,0,0,0
16,60014007001,354,55,220,79,31,84,239,0,0,0,14,187,0,15,0,0,0,0,14,0,4,0,109,0,9,2,0,219,53,4,58,4,16,260,94,64,74,81,80,198,156,0,0,0,0,0,0,0,0,0,0
